,trackId,recordingId,DV1,DV2,DV3,DV4,DV5,DV6,DV7,DV8,DV9,DV10,DV11,DV12,DV13,class,label
0,0.0,0.0,4.43916903622103,1.61123388817288,-69.8056165242215,27.3761110101038,-43.0771708237169,4.04791837146111,0.30805246893424,-77.2958012412107,14.3968840379146,-36.1606782891281,0.0,10.952380952381,22.0588235294118,1,2
4,,,4.57868401974545,1.33939703950231,98.3928450686407,44.2101660282727,-68.2651751019902,3.92137923839003,0.430187543243857,67.2348309125247,36.9313778284604,-58.0878774647373,0.0,24.6231155778894,21.5686274509804,1,2
5,,,4.0198973881348,1.31250598151956,-113.752081517469,49.2213429848084,-89.4235229001187,3.56996632330502,0.459956145790865,-92.2202961109134,34.886245347137,-78.8423831306204,0.0,22.8668941979522,13.9830508474576,1,2
10,10.0,0.0,4.90823278319096,1.06147949336747,-63.3681160381839,25.9881301966824,-56.6427050963894,4.44664470323065,0.231856646106836,-70.23953583254,14.2876362693351,-46.7752425254236,0.0,0.0,22.2222222222222,1,2
11,11.0,0.0,4.66318600977499,0.765450174851479,71.8982219522213,84.1470663054837,-50.330024337198,4.13862130177515,0.278810939094388,66.8238225268749,75.7050593122408,-40.787324449243,0.0,9.82142857142857,23.0,1,2
12,12.0,0.0,0.956645518780164,1.41807984458894,4.9419162733338,82.0471718042523,-57.3083672710816,0.789023318769425,0.348388738868142,3.69543512336854,27.6093821830465,-53.2352206787785,0.0,12.7118644067797,22.5806451612903,1,2
15,15.0,0.0,3.74977351093678,1.06412058972066,-104.374728466186,28.9813922788275,-76.0349674559918,3.33583442364973,0.180434254934284,-88.7460266695187,11.0114330711801,-70.2276446241217,0.0,10.7462686567164,21.7687074829932,1,2
17,17.0,0.0,4.45994646388231,1.19411338632427,-116.994521094686,58.4956710041484,-80.0635504773232,4.09298387594565,0.608312818458581,-93.53110188105,54.717851634927,-72.5968029823025,0.0,25.0,23.6994219653179,1,2
18,18.0,0.0,3.17630615871577,0.964800113150182,-26.8723519660403,83.5464395749343,-77.6610237447321,2.97233722222222,0.2221368,-29.4120188957445,22.8627817596344,-75.43267623006,0.0,13.8461538461538,11.2299465240642,1,2
23,23.0,0.0,4.81423630755797,1.21963567666594,-72.5068699606271,41.236690473244,-52.1808961768244,4.37663403534195,0.460886414484483,-75.5664335771092,30.2209168019199,-46.5430025990671,0.0,0.0,22.972972972973,1,2
27,27.0,0.0,3.84422939815332,0.938236146293516,-82.6996378915962,64.8479901398853,-47.4881994259164,3.60574813554529,0.529403567694249,-81.9148665394687,66.6580507783532,-40.2482315614272,0.0,17.0542635658915,22.7272727272727,1,2
28,28.0,0.0,4.04079163795556,1.27681713583459,75.0689041820285,29.5892266436856,-42.6679177140803,3.53374038704558,0.196903355298119,51.9217780586498,20.6613798620078,-33.361254173977,0.0,12.3711340206186,21.4285714285714,1,2
33,33.0,0.0,5.23386113969326,0.957994076865851,69.8363792298349,59.7333503938808,-57.5509536591545,4.65521213912323,0.189722573964497,71.5344838794326,59.4818597533852,-59.6119829576306,0.0,17.3076923076923,31.0344827586207,1,2
38,38.0,0.0,9.50308505863894,1.6916482851258,-4318.86938851608,48.9611171123044,-60.1867335796848,8.66041510227166,0.584844563689046,3577.65462283799,44.6326623070717,-55.7354437838127,0.0,23.2227488151659,23.8805970149254,1,2
39,39.0,0.0,4.79786810904756,1.17298927371652,99.3050114808734,49.5649829276924,-46.7135622197618,4.26272938008832,0.31738111915734,89.1975575925615,40.876640929317,-45.8451371086925,0.0,15.2073732718894,30.1801801801802,1,2
44,44.0,0.0,3.85740240819597,0.95839200300511,-73.4267802193884,63.7678988919654,-79.6159115331085,3.61097968746061,0.463486535700143,-81.7673465673025,61.4010224894705,-90.4253909754966,0.0,20.746887966805,27.8846153846154,1,2
49,49.0,0.0,3.64311706962115,1.12777104319316,-74.9250019835477,30.6270699640665,-41.4318648908792,3.33797602985116,0.233453460056372,-79.9407800572195,16.9158212985938,-26.1154693441324,0.0,10.3321033210332,19.8198198198198,1,2
52,52.0,0.0,3.77797278796659,0.870331677973173,-112.036047981415,33.7612954256759,-55.5662019439489,3.39641493801775,0.221963553111374,-89.8574987168704,13.4486260285921,-39.328667812094,0.0,4.95626822157434,20.9039548022599,1,2
55,55.0,0.0,3.96413330351891,1.45120789900767,151.078258058633,56.6752454237225,-51.8313495833288,3.54648652266808,0.468910016147636,100.366346685885,24.3956132642264,-43.5737922324965,1.24069478908189,12.9411764705882,21.6216216216216,1,2
57,,,4.50589560732343,1.87464459074506,-79.872448700025,44.3658366460288,-40.0260303425137,4.01732713587566,0.637076454784935,-74.9658674530805,36.1458649771851,-31.2140626025945,0.0,19.2825112107623,21.505376344086,1,2
63,63.0,0.0,4.09153137857241,0.960707392293787,-61.5411734924781,26.6197019793683,-47.9237078306707,3.68763260358655,0.203485778845211,-68.7767821484909,16.246381186201,-42.2002283974115,0.0,12.3762376237624,23.1884057971014,1,2
66,,,3.09529559555404,0.866065609249125,-108.979842223112,62.6624984511314,-66.0821479806445,2.78704961515372,0.42625593769726,-90.635602234496,55.6601866868024,-53.1389305175813,0.0,22.1910112359551,18.3520599250936,1,2
70,70.0,0.0,4.86099763881188,1.32855067804013,-109.184112273433,36.2102327289804,-54.8920818855773,4.46259418469388,0.383424899573497,-92.9655173453186,30.1796730288352,-40.8640301142142,0.0,8.80281690140845,22.0588235294118,1,2
72,72.0,0.0,4.25304166263486,1.49847464270475,-108.645130152564,31.0485570247812,-52.7935161953072,3.80996619574653,0.307137345953396,-87.9085520948602,16.722532999792,-39.1469305307533,0.0,9.36555891238671,18.1208053691275,1,2
73,73.0,0.0,3.65335133815687,1.68195895139374,127.467460202898,45.8720707830741,-43.1125705620136,3.29461321926278,0.417992708238507,94.0503974855604,25.1755565516211,-31.6952453618183,0.0,15.3846153846154,20.6611570247934,1,2
76,76.0,0.0,4.44180326546976,0.965543779627363,-76.3800087526075,48.9572486437224,-79.7659169740302,4.16751584084962,0.391750659371319,-85.7334570952482,39.7824788651987,-75.7964047123914,0.0,17.3228346456693,20.2898550724638,1,2
77,77.0,0.0,1.5340591747653,0.993033189408679,17.796326566629,50.9219438171337,-67.9783533790703,1.34931764111892,0.425533918798334,15.1031913373669,45.801496863308,-52.6060479156852,0.0,14.0243902439024,13.4078212290503,1,2
79,,,5.05557559773362,1.54368388890115,91.5287346485751,57.7410732785583,-34.247383184558,4.45419233057091,0.574900374857142,71.5314133958522,56.9432498215691,-20.7661631288086,0.0,24.0,16.1616161616162,1,2
80,80.0,0.0,4.62526657035703,1.31181660193633,-73.6077934663867,42.5496774338303,-45.3934433828065,4.31197889675892,0.449612515702479,-79.2614627549011,30.5243606179483,-36.4580672703495,0.0,28.1818181818182,21.9512195121951,1,2
87,87.0,0.0,4.77867381696233,1.08861892169512,-82.6300057555016,53.4926777195538,-37.83154331781,4.47268956584022,0.503541236623068,-83.7099779877014,31.7853138448937,-25.2248061805257,0.0,17.6724137931034,14.2857142857143,1,2
88,88.0,0.0,4.50769523009481,1.27165365408293,-92.4917572583426,64.3078987121799,-43.4885675103097,4.11854631792658,0.772405305747644,-86.6467500431201,58.4331975819614,-27.0173745173745,0.0,24.2424242424242,14.2857142857143,1,2
89,89.0,0.0,6.36874417093023,1.05504389004209,64.8097229807105,53.1537929056691,-52.1270122475122,5.70095941496598,0.19252906875,67.3308689101327,21.5211225520082,-39.5805896421467,0.0,10.0,15.3846153846154,1,2
91,91.0,0.0,5.06965805794739,1.58429784932101,-112.748553686825,39.9967637979058,-49.9698050832299,4.45353584319527,0.591684553099017,-88.2648049222693,27.8513858696752,-41.108620967309,0.0,11.9047619047619,21.9512195121951,1,2
92,92.0,0.0,5.62690195078943,1.23851303415091,85.5248006724938,46.065522167434,-55.1973488093664,4.97260026738504,0.3401216,93.3611334430505,43.0020229426195,-44.7396448418017,0.0,22.2222222222222,19.8895027624309,1,2
93,93.0,0.0,3.86775572011195,0.998163667160182,-109.011417906328,62.4271316731113,-81.4194078475359,3.45336479210787,0.548294820423851,-86.9492125711031,58.3046289113008,-55.4902849727017,0.0,19.5046439628483,12.7659574468085,1,2
96,,,4.52020660608284,0.910388331285982,71.6523530632412,33.538581963143,-44.8388392998148,3.99029359872611,0.161794218249283,66.9931651005365,24.3435167678376,-36.4609357676103,0.0,21.4285714285714,18.75,1,2
100,100.0,0.0,3.37917919823256,1.02368971322225,-94.8921179232863,51.1228799680863,-95.3506766732843,3.06364667195748,0.424661061889104,-80.5600002233969,37.749927065058,-49.5622403309499,0.0,10.4026845637584,3.82775119617225,1,2
102,102.0,0.0,2.87279110936868,0.725127347707788,-72.0808753688843,46.7377664707875,-81.1737889976413,2.49367165685831,0.096008760330579,-67.833233128863,36.4180883407573,-66.2300118537872,0.0,18.1818181818182,10.5263157894737,1,2
108,108.0,0.0,4.64048306381057,1.30461713770453,-67.9634545367802,40.1128604238795,-48.1821728822304,4.30451499847934,0.411684202480041,-76.9069506708679,23.757331157958,-39.1026033690659,0.0,23.6453201970443,20.8333333333333,1,2
111,111.0,0.0,4.40203173095299,0.701001602977938,-62.4455543811598,41.0917739436089,-51.1782651470455,4.04762093984737,0.27236301035503,-73.3421083358171,31.825863138784,-42.778533182642,0.0,7.21153846153846,22.0,1,2
113,113.0,0.0,4.96577017896725,1.09479692314678,84.6660968268717,67.9041137055901,-56.5239794002505,4.44254323447583,0.682063122314049,78.5163334179683,65.2319861401953,-34.9525944980025,0.0,30.0,12.6582278481013,1,2
116,116.0,0.0,5.3034537766146,1.07786809777777,66.9646345739572,36.6120719125808,-65.1432538139885,4.62068629188233,0.150073511111111,64.3238077784032,22.3297434125109,-58.4998768539702,0.0,4.0,15.8227848101266,1,2
118,118.0,0.0,3.22902638975532,0.6536975326083,-57.0472109466243,64.509052431186,-57.2544663097349,2.74054807365924,0.337987182106725,-56.1948219610728,61.8433410556634,-52.8997043438708,0.0,22.887323943662,22.4489795918367,1,2
119,119.0,0.0,4.27219565247348,0.84457531109626,-66.7646836020351,45.4279902770631,-78.3740082967307,3.94204892777937,0.38503029020696,-79.6647227610484,32.3756211237562,-70.8470483153316,0.0,0.0,9.1743119266055,1,2
121,121.0,0.0,4.5905702999895,0.910503256765123,-62.9399692209575,33.4487306067043,-53.735535618952,4.21081348638214,0.256271809070834,-74.5007193327541,13.5804485490085,-47.6858232164867,0.0,19.7044334975369,23.2142857142857,1,2
